zip,mask,desc
547-0046,8,通常木曜配送とぷらす便火曜配送
547-0047,8,通常木曜配送とぷらす便火曜配送
547-0048,8,通常木曜配送とぷらす便火曜配送
550-0001,1,通常月曜配送とぷらす便木曜配送
550-0002,1,通常月曜配送とぷらす便木曜配送
550-0003,9,通常月曜配送とぷらす便木曜配送、または通常木曜配送とぷらす便火曜配送
550-0004,1,通常月曜配送とぷらす便木曜配送
550-0005,1,通常月曜配送とぷらす便木曜配送
550-0006,1,通常月曜配送とぷらす便木曜配送
550-0011,1,通常月曜配送とぷらす便木曜配送
550-0012,1,通常月曜配送とぷらす便木曜配送
550-0013,9,通常月曜配送とぷらす便木曜配送、または通常木曜配送とぷらす便火曜配送
550-0014,9,通常月曜配送とぷらす便木曜配送、または通常木曜配送とぷらす便火曜配送
550-0015,1,通常月曜配送とぷらす便木曜配送
550-0021,1,通常月曜配送とぷらす便木曜配送
550-0022,1,通常月曜配送とぷらす便木曜配送
550-0023,1,通常月曜配送とぷらす便木曜配送
550-0024,1,通常月曜配送とぷらす便木曜配送
550-0025,1,通常月曜配送とぷらす便木曜配送
550-0027,1,通常月曜配送とぷらす便木曜配送
551-0001,8,通常木曜配送とぷらす便火曜配送
551-0002,8,通常木曜配送とぷらす便火曜配送
551-0003,8,通常木曜配送とぷらす便火曜配送
551-0011,8,通常木曜配送とぷらす便火曜配送
551-0012,8,通常木曜配送とぷらす便火曜配送
551-0021,8,通常木曜配送とぷらす便火曜配送
551-0023,8,通常木曜配送とぷらす便火曜配送
551-0031,8,通常木曜配送とぷらす便火曜配送
551-0032,8,通常木曜配送とぷらす便火曜配送
551-0033,8,通常木曜配送とぷらす便火曜配送
552-0001,8,通常木曜配送とぷらす便火曜配送
552-0002,8,通常木曜配送とぷらす便火曜配送
552-0003,8,通常木曜配送とぷらす便火曜配送
552-0004,8,通常木曜配送とぷらす便火曜配送
552-0005,8,通常木曜配送とぷらす便火曜配送
552-0007,8,通常木曜配送とぷらす便火曜配送
552-0011,8,通常木曜配送とぷらす便火曜配送
552-0012,8,通常木曜配送とぷらす便火曜配送
552-0014,8,通常木曜配送とぷらす便火曜配送
552-0015,8,通常木曜配送とぷらす便火曜配送
552-0016,8,通常木曜配送とぷらす便火曜配送
552-0021,8,通常木曜配送とぷらす便火曜配送
552-0023,8,通常木曜配送とぷらす便火曜配送
553-0001,8,通常木曜配送とぷらす便火曜配送
553-0002,8,通常木曜配送とぷらす便火曜配送
553-0003,8,通常木曜配送とぷらす便火曜配送
553-0004,8,通常木曜配送とぷらす便火曜配送
553-0005,24,通常木曜配送とぷらす便火曜配送、または通常金曜配送とぷらす便水曜配送
553-0006,8,通常木曜配送とぷらす便火曜配送
553-0007,8,通常木曜配送とぷらす便火曜配送
553-0012,1,通常月曜配送とぷらす便木曜配送
554-0001,8,通常木曜配送とぷらす便火曜配送
554-0002,8,通常木曜配送とぷらす便火曜配送
554-0011,8,通常木曜配送とぷらす便火曜配送
554-0012,8,通常木曜配送とぷらす便火曜配送
554-0013,8,通常木曜配送とぷらす便火曜配送
554-0014,8,通常木曜配送とぷらす便火曜配送
554-0021,8,通常木曜配送とぷらす便火曜配送
554-0022,8,通常木曜配送とぷらす便火曜配送
554-0023,8,通常木曜配送とぷらす便火曜配送
554-0024,10,通常火曜配送とぷらす便金曜配送、または通常木曜配送とぷらす便火曜配送
554-0051,8,通常木曜配送とぷらす便火曜配送
555-0001,9,通常月曜配送とぷらす便木曜配送、または通常木曜配送とぷらす便火曜配送
555-0011,8,通常木曜配送とぷらす便火曜配送
555-0012,8,通常木曜配送とぷらす便火曜配送
555-0013,8,通常木曜配送とぷらす便火曜配送
555-0021,8,通常木曜配送とぷらす便火曜配送
555-0022,8,通常木曜配送とぷらす便火曜配送
555-0023,8,通常木曜配送とぷらす便火曜配送
555-0024,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
555-0025,8,通常木曜配送とぷらす便火曜配送
555-0031,8,通常木曜配送とぷらす便火曜配送
555-0032,8,通常木曜配送とぷらす便火曜配送
555-0033,8,通常木曜配送とぷらす便火曜配送
555-0034,8,通常木曜配送とぷらす便火曜配送
555-0041,8,通常木曜配送とぷらす便火曜配送
555-0043,8,通常木曜配送とぷらす便火曜配送
555-0044,8,通常木曜配送とぷらす便火曜配送
556-0001,8,通常木曜配送とぷらす便火曜配送
556-0003,8,通常木曜配送とぷらす便火曜配送
556-0005,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
556-0006,8,通常木曜配送とぷらす便火曜配送
556-0011,13,通常月曜配送とぷらす便木曜配送、または通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
556-0012,8,通常木曜配送とぷらす便火曜配送
556-0013,8,通常木曜配送とぷらす便火曜配送
556-0014,8,通常木曜配送とぷらす便火曜配送
556-0015,8,通常木曜配送とぷらす便火曜配送
556-0016,8,通常木曜配送とぷらす便火曜配送
556-0017,8,通常木曜配送とぷらす便火曜配送
556-0021,8,通常木曜配送とぷらす便火曜配送
556-0022,8,通常木曜配送とぷらす便火曜配送
556-0023,8,通常木曜配送とぷらす便火曜配送
556-0024,8,通常木曜配送とぷらす便火曜配送
556-0025,8,通常木曜配送とぷらす便火曜配送
556-0026,8,通常木曜配送とぷらす便火曜配送
556-0028,8,通常木曜配送とぷらす便火曜配送
556-0029,8,通常木曜配送とぷらす便火曜配送
557-0001,8,通常木曜配送とぷらす便火曜配送
557-0011,24,通常木曜配送とぷらす便火曜配送、または通常金曜配送とぷらす便水曜配送
557-0012,8,通常木曜配送とぷらす便火曜配送
557-0013,8,通常木曜配送とぷらす便火曜配送
557-0014,8,通常木曜配送とぷらす便火曜配送
557-0016,8,通常木曜配送とぷらす便火曜配送
557-0023,8,通常木曜配送とぷらす便火曜配送
557-0024,8,通常木曜配送とぷらす便火曜配送
557-0025,8,通常木曜配送とぷらす便火曜配送
557-0031,8,通常木曜配送とぷらす便火曜配送
557-0032,8,通常木曜配送とぷらす便火曜配送
557-0033,8,通常木曜配送とぷらす便火曜配送
557-0034,8,通常木曜配送とぷらす便火曜配送
557-0041,8,通常木曜配送とぷらす便火曜配送
557-0042,8,通常木曜配送とぷらす便火曜配送
557-0043,8,通常木曜配送とぷらす便火曜配送
557-0044,8,通常木曜配送とぷらす便火曜配送
557-0045,8,通常木曜配送とぷらす便火曜配送
557-0051,8,通常木曜配送とぷらす便火曜配送
557-0052,8,通常木曜配送とぷらす便火曜配送
557-0053,8,通常木曜配送とぷらす便火曜配送
557-0054,8,通常木曜配送とぷらす便火曜配送
557-0055,8,通常木曜配送とぷらす便火曜配送
557-0061,8,通常木曜配送とぷらす便火曜配送
557-0062,8,通常木曜配送とぷらす便火曜配送
557-0063,8,通常木曜配送とぷらす便火曜配送
558-0001,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
558-0002,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
558-0003,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
558-0004,12,通常水曜配送とぷらす便月曜配送、または通常木曜配送とぷらす便火曜配送
558-0011,4,通常水曜配送とぷらす便月曜配送
558-0012,4,通常水曜配送とぷらす便月曜配送
558-0013,4,通常水曜配送とぷらす便月曜配送
